标题	面积	单价	总价
玺源台 2013年小区 户型方正一居室 看房随时有钥匙	72㎡	105278元/㎡	758万元
三期，南北通透两居室，户型好，楼层高，视野好，有电梯。	112.32㎡	29381元/㎡	330万元
笋盘 社区店 吉出手价格大刀   钥匙在手随时看房	213.56㎡	24818元/㎡	530万元
密云城区 满五 商品房 南北通透 交通便捷 双卫格局	115.01㎡	18781元/㎡	216万元
2016年次新小区 地铁紧邻理工仅售价195W 强推好房！	80.6㎡	24194元/㎡	195万元
双榆树  太阳园  3室  2厅	138.5㎡	98195元/㎡	1360万元
顶秀美泉二期 满五年 南北通透 采光充足 看房方便 价格可	89.07㎡	30201元/㎡	269万元
朗琴园全南三居，满五年一套，商品楼随时可看，给周期价可聊	112㎡	120983元/㎡	1355万元
北七家西湖新村居复式，低总价 南北通透， 全天采光 带大阳台	138.72㎡	18960元/㎡	263万元
价格大谈！有电梯南向一居 无遮挡中间层 可随时看房随时签约！	64㎡	43750元/㎡	280万元
东方太阳城 琴湖园四层两居室 紧邻大湖南北通透 位置好精装修	105.25㎡	31354元/㎡	330万元
新上龙泽新龙城一居室全落地窗	56.68㎡	50283元/㎡	285万元
昊天温泉交通便利近地铁南北通透两居室	74.31㎡	18571元/㎡	138万元
红冶钢厂宿舍,2居室,2厅	48.46㎡	22493元/㎡	109万元
平谷城区 医疗配套成熟 小三房 近地铁 交通便捷 集中供暖	90.26㎡	17505元/㎡	158万元
静心苑 两室两厅一卫	128.88㎡	24054元/㎡	310万元
总价低！平台层！次次顶层！直观公园！稳定签约！随时可看！	131.61㎡	63066元/㎡	830万元
地铁500米西山甲一号 纯商品房  四居室  业主二次装修	141.88㎡	54624元/㎡	775万元
天资华府高楼层景观房满五年南北通透次新房随时看房	132.7㎡	30897元/㎡	410万元
五环外 西山甲一号 次新房 双地铁 五恒科技住宅 南北通透	128.37㎡	51414元/㎡	660万元
买房零代理 培新街乙5号院 东南三居 诚售 随时观看	96.64㎡	111549元/㎡	1078万元
望京 地铁口 南北两居 临近商超	58.83㎡	45555元/㎡	268万元
鼓楼东区 规整3居 五年   业主急售	113.2㎡	27386元/㎡	310万元
朝阳公园蓝色港湾 六3 八萬  博雅园 两居 近地铁 法拍	125.3㎡	65443元/㎡	820万元
生物医药基地 正规商品房 临地铁 南北通透 满五  	87.57㎡	29577元/㎡	259万元
宏星地产推荐 绿地中央广场 精装修 售价    	129.81㎡	46222元/㎡	600万元
全南向复式大两居 动静分离 轻奢简约 全屋定制装修 鹿港嘉苑	133㎡	69925元/㎡	930万元
世茂前排四居室 高楼层 观景奥森公园 户型好	293㎡	70990元/㎡	2080万元
自由城平层大三居步梯公摊小	124.78㎡	55939元/㎡	698万元
北大地一里，中间层，税费少，装修好	49.93㎡	59884元/㎡	299万元
新悦家园(南区) 三室一厅两卫 满五	117.61㎡	28484元/㎡	335万元
满二 密度低 南北通透 带电梯 小区新 正规商品房	86.09㎡	26949元/㎡	232万元
新上必看好房 来电由有惊喜长阳地铁两居室 自己住 看房方便	69.16㎡	38896元/㎡	269万元
怡馨家园 满五   临地铁 商品房 中间好楼层 有电梯	114.04㎡	35953元/㎡	410万元
通州现房！带家电礼包！一层享双倍面积！可以养花种菜养宠物！	89㎡	25843元/㎡	230万元
高米店北地铁边，郁花园三里，精装大3居室，南北，带电梯	126.66㎡	49740元/㎡	630万元
北京东燕郊 地铁800米 单价8000 大  现房 随时看房	81.55㎡	6132元/㎡	50万元
菜园二区南区 三室两厅一卫	94.66㎡	13523元/㎡	128万元
苏州桥  小南庄  3室  1厅	80.08㎡	106144元/㎡	850万元
有钥匙 看房随时 中间层不临街价格可谈	82.3㎡	121264元/㎡	998万元
长阳碧桂园三期 电梯三居 全屋定制 60W装修	117.46㎡	26818元/㎡	315万元
陶然亭东西通透两居室 随时看房	95.41㎡	144639元/㎡	1380万元
富川珠光 满五   精装修 集中供暖 楼龄新 居住密度低	74.38㎡	34015元/㎡	253万元
官园  西直门南大街 人民医院旁带电梯三居室，全明格局！	81㎡	100000元/㎡	810万元
长阳绿地新都会，南北三居双卫，好位置不临铁路，中间层无遮挡	115.09㎡	28239元/㎡	325万元
力荐好房，随时可看，有专车。来电预约，自驾油补100,。	89.86㎡	17250元/㎡	155万元
满五年 3居室 户型方正 采光充足 房龄新	94㎡	29788元/㎡	280万元
新！精准现房，五层洋房，15号线新国展站，预留好位置，随时可	120㎡	40500元/㎡	486万元
海淀西四环 海淀名著 次新小区 中高楼层3居室	122㎡	121148元/㎡	1478万元
东湖湾临河高层三居 南北通透 视野开阔 采光视野好 有钥匙	149.64㎡	104251元/㎡	1560万元
双井富力城C区，小区中间位置无遮挡，3室2卫，满五  仅  	127.63㎡	98332元/㎡	1255万元
规划地铁口2公里，京秦高速，京平高速都近 现房销售，交通方便	82㎡	7464元/㎡	61.2万元
清盘特价，实用面积300加，亦庄马驹桥南，京沪高速旁.	123.7㎡	34600元/㎡	428万元
急 急 急 建外东区 西南2居 价格美丽 带燃气	165.26㎡	45989元/㎡	760万元
新悦家园(南区) 密度低 出行方便  板楼 大两房 购物便利	84.26㎡	32638元/㎡	275万元
选别墅找友墅）有大平台！带南向大院儿！门口带车位！无遮挡	251㎡	21435元/㎡	538万元
北京2室2厅 精装修  南北通透	109.3㎡	28820元/㎡	315万元
东南二环 方庄地铁站旁 改善大两居双卫带储藏间 紫芳园一区！	123.89㎡	64493元/㎡	799万元
新马坡家园 满五年 户型方正 可贷155 价格还能谈 还能谈	81㎡	19754元/㎡	160万元
潘家园，松榆里，电梯小2居，中间层，采光好，满五  ，已改造	51.3㎡	48539元/㎡	249万元
交通便利 南北通透 购物方便 板楼 商品住宅	126㎡	29842元/㎡	376万元
方立方 燕郊地铁1000米.现房 通燃气 商场 公交配套齐	88㎡	7500元/㎡	66万元
运河名著 南北通透三居室 税费少 近地铁和运河	138.32㎡	36365元/㎡	503万元
华瀚福园C区 南北通透2居室 明厨明卫 中间楼层 视野开阔	65㎡	36616元/㎡	238万元
春华屋  南北电梯三居室  双线通透 中高楼层  保养好	157.37㎡	42575元/㎡	670万元
选别墅，找友墅！满五V一，付三成，把边大园，门口停车，钥匙房	243.75㎡	20924元/㎡	510万元
房山城关万宁小区2室1厅交通方便	52㎡	13270元/㎡	69万元
新上两居室  能谈 视野无遮挡 全新装修 南北通透 全明格局	86㎡	96512元/㎡	830万元
国际生态城(南区) 商业配套齐全 有电梯 板楼 医疗配套成熟	94.98㎡	16320元/㎡	155万元
房山城关化四家属 楼2室1厅出售临地铁高楼层采光充足 带电梯	60.27㎡	12445元/㎡	75万元
长阳熙悦天街  金地朗悦沁园（三期） ，精装修下跃，满五  	122.16㎡	48134元/㎡	588万元
加州水郡(东区) 业主诚心出售 南北通透 楼层好	141.97㎡	23386元/㎡	332万元
青春路6院 2室2厅1卫1阳台 看房方便	81.15㎡	27850元/㎡	226万元
领秀翡翠山 有电梯 高楼层采光充足 双卫 精装可拎包入住	137.14㎡	47397元/㎡	650万元
中心位置两居，安静宜居采光好，坐在客厅看小区水系绿化，五棵松	98.65㎡	146985元/㎡	1450万元
北航南门 太月园 中高层全南向两居 采光好视野开阔满五年  	90.69㎡	102548元/㎡	930万元
丽泽金泰城丽湾 金融街 8年前的老客户 真的不错啊 欢迎来看	92.2㎡	96313元/㎡	888万元
劲松五区 近地铁 满五   不临街 2居室	55.52㎡	44489元/㎡	247万元
博园雅居~有电梯~房龄新~南北通透~中间好楼层~小三房	98㎡	13572元/㎡	133万元
悠唐麒麟公馆 临地铁 精装可拎包入住 次新房 中间楼层	85㎡	100000元/㎡	850万元
有钥匙 电梯直达 全区定制装修 视野开阔 满五年 临地铁	68.65㎡	128187元/㎡	880万元
装修豪华保养好 商品房 刚需小三居 高楼层采光充足 出行方便	100.66㎡	18777元/㎡	189万元
交易有保单 安心购 必看好房 车站北里2室1厅	76.07㎡	24320元/㎡	185万元
品质生活 低密洋房  双卫生间，精装修，管家服务	128.15㎡	40422元/㎡	518万元
右安门内 紫金印象 2017年次新小区  南北通透两居	86.46㎡	113348元/㎡	980万元
华发颐园 闹中取静，南北通透3居室，直通地库	128.56㎡	68840元/㎡	885万元
后沙峪  满庭芳嘉园  3室  1厅	104.42㎡	36871元/㎡	385万元
大宁山庄~中楼层电梯房~停车充足~双卫~小区绿化高~密度低	144.04㎡	32283元/㎡	465万元
世界名园(B区) 电梯房 正规商品房 双卫生间 满五  	134.29㎡	12138元/㎡	163万元
京科苑,3居室,2厅	114.69㎡	28599元/㎡	328万元
急售！ 5号线14号线双轨交汇 电梯房精装两居室 有钥匙	59.45㎡	53827元/㎡	320万元
店长力荐 南北通透大一居 已完成加装电梯 精装修  拎包入住	71.37㎡	39933元/㎡	285万元
顶秀美泉三期 全明格局 三阳户型 中间楼层 有钥匙 低密度	135.21㎡	28697元/㎡	388万元
长阳原香小镇一期  南北通透三居室  电梯洋房 全明户型	121.35㎡	31809元/㎡	386万元
小区内部租售部直售，大阳台一居。看人民日报社	108.56㎡	93037元/㎡	1010万元
花园小区(密云) 出行方便 精装好房 近医院 商品住宅	117.51㎡	20850元/㎡	245万元
出行方便 低容积 满五 双卫 精装好房 高楼层视野好	114.09㎡	15690元/㎡	179万元
北苑 望春园 满五   高层 无遮挡 采光好 人车分流	135.97㎡	59499元/㎡	809万元
长辛店 南向采光好 商品住宅 电梯房	65㎡	29231元/㎡	190万元
首都机场  东平里~2室1厅~60.48平米	60.48㎡	26125元/㎡	158万元
合生世界花园 满五   正规商品房 刚需两居 高楼层采光充足	100.91㎡	31216元/㎡	315万元
总监推荐 富力E区大三居 双卫 东西通透 户型方正 看房方便	106.44㎡	33822元/㎡	360万元
富力尚悦居(A区)  南北通透 精装修 商品住宅，电梯房	112.24㎡	34569元/㎡	388万元
东关一区(东区)  南北通透 低楼层 看房方便	128.84㎡	29494元/㎡	380万元
顺义站1000米，急售，捌仲两居室，中楼层，满五可组合贷，	84㎡	26548元/㎡	223万元
典雅庄园，精装一居室，客厅和主卧室朝南，看房随时	67.65㎡	26608元/㎡	180万元
抢！望京北新房 总高5层精装 地铁800米 给周期 实体现房	120㎡	40000元/㎡	480万元
绿港家园  电梯观景房  好户型 品质社区	102.55㎡	18431元/㎡	189万元
西南北 通透两居 高层采光充足 无浪费面积	108.6㎡	78269元/㎡	850万元
只委托我司出售，西区北排高层(非顶层），南北通透，观景国贸	139.17㎡	88382元/㎡	1230万元
城关北里 2室1厅 南北向 户型好 采光好 看房方便	54.15㎡	13851元/㎡	75万元
电梯房 低密宜居 满五   集中供暖 南北通透 双卫格局	157㎡	24714元/㎡	388万元
云岗北区东里 密度低 商品住宅 高楼层 视野无遮挡 看房随时	47.65㎡	39875元/㎡	190万元
海逸半岛 出行方便 刚需两居 带电梯 临地铁 南北通透	120.01㎡	29165元/㎡	350万元
新居里 好楼层 南北户 无遮挡 商品房 可做三室	94.08㎡	30719元/㎡	289万元
四环大井地铁 房龄新 有电梯 业主急售 随时看房	52㎡	41924元/㎡	218万元
水星园 电梯房 近地铁 医疗配套成熟 商品住宅 满五  	69㎡	104058元/㎡	718万元
密云城区 商业配套成熟 电梯房 南北通透 满五诚意  近医院	132㎡	23864元/㎡	315万元
新出翡翠公园下叠  上下三层 楼间距大 采光好	92.16㎡	106337元/㎡	980万元
双峪 快四 大峪南路 房子保持很好	53.81㎡	25275元/㎡	136万元
密云银河湾 大两房 商品住宅 满五   南北通透 近医院	106.29㎡	21451元/㎡	228万元
福泽御园南向，户型好，采光充足，楼层好	77.18㎡	9070元/㎡	70万元
瑞雪春堂二里高层大三居 双卫生间 南北通透 通风好采光足	124㎡	27259元/㎡	338万元
良乡 集中供暖 医疗配套成熟 商业配套成熟 高楼层采光充足	56.76㎡	16738元/㎡	95万元
急售 碧桂园(三期) 中间楼层采光好 装修好 南北通透	93㎡	22904元/㎡	213万元
香花畦家园 高楼层 双卫格局 满五   电梯房 出行方便	167.2㎡	35288元/㎡	590万元
展览路  百万庄大街甲21号院  3室  2厅	104.9㎡	152431元/㎡	1599万元
双兴南区 南北通透一居室 低楼层 满五年 一套 接受组合	70㎡	28429元/㎡	199万元
一居室的价格买两居，定安里 中楼层 满五  	51.68㎡	57857元/㎡	299万元
世华龙樾  三居 电梯 装修好 南北通透	94.3㎡	129375元/㎡	1220万元
绿城西府海棠 3室2厅1卫 品质小区 经典实用	88.75㎡	89578元/㎡	795万元
公安局宿舍楼 两室一厅一卫 满五	56.5㎡	32390元/㎡	183万元
郝庄家园西区 两室两厅一卫 满五	74.21㎡	23986元/㎡	178万元
好房急售~长阳康泽南向一居室~高楼层视野开阔~看房方便	43㎡	27907元/㎡	120万元
玺源台 正南 不临街 人车分流 716号线双地铁 西城广外	32.63㎡	125345元/㎡	409万元
急售 边户 双明卫 成寿寺  文成建筑  3室  2厅	162.06㎡	59855元/㎡	970万元
近石门D铁口 万科南2005年建成 南北通透落地窗 报价大聊	95.48㎡	23042元/㎡	220万元
龙山华府 3居室 全明格局 南北通透 不临街	99.34㎡	37045元/㎡	368万元
顺义精装现房，首付65W，好楼层，南北通透，一梯两户	89㎡	25506元/㎡	227万元
望春园 南北板楼大三居 带  车位 视野无遮挡     	129.19㎡	67343元/㎡	870万元
中海城成寿寺 好房推荐哈哈哈哈	135.49㎡	61260元/㎡	830万元
中高层 ，边户，明卫，南北通透大三居 价格可谈	127.24㎡	27115元/㎡	345万元
密云华润橡树湾(北区) 房龄新 南北通透 双卫格局	125.62㎡	27066元/㎡	340万元
特价房，全南向，两居室，精装修，电梯房，中楼层，地铁6号北关	66.67㎡	30749元/㎡	205万元
刚装修完的三居室，拎包入住，明厨明卫，价格合适	107.01㎡	35511元/㎡	380万元
朝阳区常营首开畅心园 西向两居 地铁666米 高楼层无遮挡	68.21㎡	33720元/㎡	230万元
有一种业主叫迫不得已，降嫁急售，有客户叫时刻准备，等待机会	64.7㎡	15302元/㎡	99万元
枣园小区 中间楼层采光好 购物方便 密度低 南北通透	58.75㎡	28937元/㎡	170万元
精装可拎包入住 超低密度 南北通透      房龄新	141㎡	26242元/㎡	370万元
未来科学城，电梯洋房上叠， 南排，直面公园，视野超好不遮挡.	194.9㎡	32787元/㎡	639万元
上海沙龙 电梯中楼层眼镜三居室 户型好 采光视野好 满五  	129.51㎡	56753元/㎡	735万元
急售 华业东方玫瑰有密码 明厨明卫 清晰 南北通透！	130.86㎡	47991元/㎡	628万元
果园西里小区 看房方便 采光好 交通便利	96㎡	14584元/㎡	140万元
绿地国际花都(北区) 近医院 满五 精装修 南北通透 大两房	86.5㎡	19538元/㎡	169万元
北七家镇 奥北区域大一居室，温榆河河畔精装	71.39㎡	25914元/㎡	185万元
长阳光合作用 楼层好 房龄新 大两居 南北通透 有电梯	90.27㎡	29911元/㎡	270万元
五环别墅  京城雅居 有电梯 满五   南北通透 低密度社区	126㎡	61905元/㎡	780万元
满五 近医院 南北通透 楼层好 动静分离	91.59㎡	21291元/㎡	195万元
新增！古月园精装修大两居，一层有园子，价格大谈，业主诚意	135.45㎡	81137元/㎡	1099万元
新新家园（园内租售.知根知底）帮您.省时.省金）诚意出售可谈	502.82㎡	79532元/㎡	3999万元
不要看报价可大谈 华瀚福园D区 南北通透2居室 中高楼层	65.87㎡	37195元/㎡	245万元
乐府江南 3室2厅2卫 品质小区 格局方正	128.89㎡	96982元/㎡	1250万元
东四环周边南北两居 商品房 看房随时 7号线	88.44㎡	33809元/㎡	299万元
东四环周边南北两居 商品房 看房随时 7号线	88.44㎡	33809元/㎡	299万元
新景家园(东区) 精装好房 小三居 近医院 商圈成熟	92.72㎡	108931元/㎡	1010万元
还能谈 只售100.00万元 报价准确 非常合适 着急出售	81.42㎡	12282元/㎡	100万元
8号楼 北向小三居 满五年 保养好 有钥匙 给周期	123㎡	85366元/㎡	1050万元
城建万科城 南北通透 集中供暖 交通便捷 低楼层	75.08㎡	15983元/㎡	120万元
望京北，阿里总部边，有钥匙，南北通透两居室	75.73㎡	38030元/㎡	288万元
开发商直售 一层带半地下室 精装现房  随时可看	108.37㎡	37372元/㎡	405万元
户型方正 看房方便 价格可议	85.32㎡	31529元/㎡	269万元
三环边 纯商品 双卫三居 下楼到地铁 电梯房 采光好	111.31㎡	65583元/㎡	730万元
通州  朝通嘉园三居双卫格局.看房随时	120.52㎡	30618元/㎡	369万元
龙庆望都佳园二层~两室~两厅~一卫	82.72㎡	10881元/㎡	90万元
奥森边，正西3居，04年楼盘，落地窗，采光好	141.87㎡	45817元/㎡	650万元
格兰山水(一期) 三室两厅两卫	111.54㎡	25104元/㎡	280万元
七里庄望园东里 板楼南北通透正规三居 户型方正 采光好无遮挡	99.4㎡	61369元/㎡	610万元
郝庄家园西区 户型方正 采光好 房龄新	58.79㎡	22113元/㎡	130万元
北三环内 新上  精装一居室 业主急售 好房带电梯西南向	43.83㎡	59321元/㎡	260万元
密云城区 正规商品房 小三居 板楼 商业配套齐全	108.78㎡	18846元/㎡	205万元
朝阳门地铁必卖A区南  2居无遮挡精装修采光好随时签约有钥匙	68.05㎡	121970元/㎡	830万元
枣园小区小区,交通便利,配套成熟,南北通透	81.92㎡	35767元/㎡	293万元
世纪城三期观山园 3室3厅2卫 两房朝南 南北通透	164.32㎡	127800元/㎡	2100万元
业主诚意出售 含车位价可再议 低税费明厨卫 业主我熟看房随时	89㎡	97753元/㎡	870万元
南北通透正规一居83平米 客厅朝南 主卧朝南 有电梯	83.67㎡	27489元/㎡	230万元
新上 金融街边 月坛 电梯三室一厅  满五    公房拎包入	83.7㎡	117085元/㎡	980万元
上地新出两居室 3层采光好 满五年税费低	58.8㎡	147620元/㎡	868万元
密云华润橡树湾(北区) 近医院 有电梯 装修豪华保养好	126㎡	25000元/㎡	315万元
星河湾三期高层，观景三居带套内大书房，带地暖大平层	346.86㎡	86491元/㎡	3000万元
湖南小区三居室 房龄新 性价比高 看房方便 装修好 价格可议	105㎡	16000元/㎡	168万元
品质小区,安全性高,素质住户,交通便利,环境优美	83.75㎡	34508元/㎡	289万元
国锐金嵿 南北通透 装修好 出行方便 商品房 高楼层采光充足	72㎡	33334元/㎡	240万元
（客 户 零 傭 金）玉海园二里 3室1厅 125平	125㎡	70400元/㎡	880万元
长阳世茂维拉   洋房 一梯两户带阳台 满五可一套 精装房	100.36㎡	29195元/㎡	293万元
密东广场三居两卫 正南朝向 商业配套齐全 中间好楼层 电梯房	138.87㎡	25780元/㎡	358万元
德胜门 20平米大客厅 价格有大惊喜 2室1厅	63.9㎡	132864元/㎡	849万元
建明里 户型方正 南北通透 采光充足 中间楼层 价格可议	58.15㎡	28375元/㎡	165万元
广安门  动静分离复式  可放床的大阳台，地铁100米	27.63㎡	115817元/㎡	320万元
交易有保单 必看好房 店长力荐 天宫院小区 南北通透大两居	88.56㎡	29924元/㎡	265万元
长阳集中供暖河景房大三居双卫	138㎡	27537元/㎡	380万元
南二环右安门2012年商品房，电梯南北通透低密三居	97.25㎡	87404元/㎡	850万元
交易有保单 必看好房 建邦华庭西区 3室2厅 精装 随时看房	143.62㎡	36834元/㎡	529万元
燕水佳园社区北区 两室两厅一卫	89.95㎡	12785元/㎡	115万元
海淀区前沙涧路麓景嘉园北里2居室.稳定出售	85㎡	29648元/㎡	252万元
北七家  翡翠公园  4室  1厅	122.48㎡	51437元/㎡	630万元
绿地国际花都(北区) 电梯 精装好房 商业配套齐全	132.13㎡	21797元/㎡	288万元
顺兴街7号院（鲁能7号院溪园）~2室1厅~85.00平米	85㎡	29295元/㎡	249万元
西南五环 6层精装电梯洋房 有一个车位 急售没住过 实景拍摄	73㎡	30274元/㎡	221万元
永安里 一室两厅一卫	43.73㎡	32015元/㎡	140万元
丽园路30号院,2居室,1厅	86.69㎡	28608元/㎡	248万元
康安小区三居室 中间楼层 房龄新 地下室 看房方便 价格可议	94.95㎡	19168元/㎡	182万元
南四环 大红门锦苑A区 两居室双卫 明厨明卫 价格可刀	113㎡	27877元/㎡	315万元
北京东燕郊 地铁800米 单价6200 南北通透 好楼层现房	87㎡	7161元/㎡	62.3万元
新上赵公口彩虹城一区，满五年  ，方正一居室	46.95㎡	43664元/㎡	205万元
燕平家园 两室一厅一卫 满五	71.15㎡	32327元/㎡	230万元
优选！高层南  3居，户型方正，落地窗大阳台，视野采光没遮挡	154.51㎡	45176元/㎡	698万元
望京 次新社区 大西洋新城金石美苑2居 通透户型 高性价比	113.74㎡	85107元/㎡	968万元
马连洼天秀花园澄秀园南北通透精装三居室，满五  ，采光好	108.67㎡	70857元/㎡	770万元
北京东燕郊 嘉都国际 近地铁 万科物业 特价   起 带车位	46㎡	7609元/㎡	35万元
玉泉路地铁口 近玉泉东市场 带电梯 133平米大三室	133.1㎡	58603元/㎡	780万元
密云上营北区  正规商品房 商圈成熟 精装好房 双卫格局	133.98㎡	26721元/㎡	358万元
西三区满五年  ，南北通透大2居，双卫格局	139.9㎡	29307元/㎡	410万元
密云城区 中间楼层采光好 看房有钥匙 商品住宅 南北通透	61.5㎡	20326元/㎡	125万元
新兴小区西区~2层~65.16平米~2室1厅1卫~主卧朝阳	65.16㎡	17649元/㎡	115万元
急售！周庄嘉园C区 商品房 商业配套成熟 满五   集中供暖	51.01㎡	55872元/㎡	285万元
大学城西地铁昊天嘉园南北通透两居出售	81.57㎡	22680元/㎡	185万元
京师园 1号楼不临街 南北三居室 业主诚意出售	126.39㎡	94866元/㎡	1199万元
急售！奥森旁高层观景房，近5号线出行，成熟商圈，看房随时。	139㎡	63310元/㎡	880万元
急售十里河弘善家园2室1厅	79.32㎡	41604元/㎡	330万元
泛海国际 南北通透大三居 国贸后   双卧室夹客厅格局	213㎡	107982元/㎡	2300万元
万德福小区中间楼层   三室两厅两卫   精装修拎包入住	135.03㎡	28735元/㎡	388万元
东坝奥园三期高楼层大三居 一梯两户可高贷 诚心出售可给周期	136.98㎡	61688元/㎡	845万元
温泉西里 小三居 低楼层 南北通透 看房方便 价格可议	95㎡	18948元/㎡	180万元
三里屯 正规大两居 落地窗 独立书房 采光好 刷卡入户	148㎡	67433元/㎡	998万元
（必看好房）朝丰家园 双卧朝南 南北通透 中间层满五为一	79.14㎡	35381元/㎡	280万元
昌盛园四区 三室两厅两卫 满五	153.21㎡	32962元/㎡	505万元
良乡  伟业嘉园西里  3室  2厅中间楼层精致装修	132.76㎡	24104元/㎡	320万元
瀛海家园 86平米两居 价格可大谈 有需要直接联系我	85.93㎡	32585元/㎡	280万元
合景香悦四季(西区)~正规3居室~婚房装修~采光好空间大~不	115㎡	31305元/㎡	360万元
中信锦园 中间层 价低 随时看 东西通透 主力 推荐	94.59㎡	150122元/㎡	1420万元
车公庄  榆树馆西里 05年次新小区 近地铁	87.3㎡	108821元/㎡	950万元
老国展带厅一居室 近小关市场，17号线左家庄站旁	44.96㎡	59831元/㎡	269万元
天通中苑 6层 南北三居双卫 商五一套 有钥匙 可议价	153.16㎡	37869元/㎡	580万元
老    ，出行便捷， 后建的楼，诚意出手	133㎡	99249元/㎡	1320万元
首都机场  南平里  2室  1厅	58.57㎡	29367元/㎡	172万元
双兴南区~4室1厅~148.60平米	148.6㎡	26245元/㎡	390万元
育新花园北里 商品房 有电梯 中间好楼层 南向采光好	53㎡	15661元/㎡	83万元
急售，京品小区大三居，高绿化，商品房，满五一套，政务中心	117.56㎡	61926元/㎡	728万元
近地铁 近医院 高楼层采光充足 商品房 交通便捷	70㎡	157143元/㎡	1100万元
首都机场  机场南路东里  2室  1厅	71.37㎡	23540元/㎡	168万元
东三环内 CBD （带燃气）东南观绿化美景 多一个共用平台	150.04㎡	48654元/㎡	730万元
满五年  公房，采光好有车位，不临街无遮挡的三居，有电梯诚售	77.5㎡	109678元/㎡	850万元
五矿铭品 上跃 南北通透 高楼层视野好 楼龄新 交通便捷	136.62㎡	45309元/㎡	619万元
亦庄新城 精装一居室 中间楼层 不临街业主诚意出售	55.63㎡	26066元/㎡	145万元
顺义~精装修~怡馨家园~人文社区~飘窗~视野开阔	107.99㎡	36948元/㎡	399万元
低容积 双卫生间 出行方便 满二   大两房 近医院	81.34㎡	15614元/㎡	127万元
莲花苑小区 3室2厅1卫1阳台 低楼层 看房方便	104.85㎡	13162元/㎡	138万元
万达  新华西街  2室  1厅	63.63㎡	44791元/㎡	285万元
二环热销房！朱雀门，南北通透三居室	164.31㎡	178748元/㎡	2937万元
（凤凰城本月成交12套）全南两居室，可谈价，二次装修	117.33㎡	110714元/㎡	1299万元
品质小区,交通便利,周边配套齐全,位置安静,视野好	119.41㎡	41706元/㎡	498万元
天地神通~金善名居~低楼层~精装两居室~总价低~看房方便	80.65㎡	21079元/㎡	170万元
电梯两居 户型方正采光好 适合公积金 小区里自带公园	60.23㎡	46323元/㎡	279万元
金色漫香郡北区 2室1厅 普装	90.43㎡	21896元/㎡	198万元
枫丹丽舍   洋房 大三居 中间位置 中间楼层 精装	145.4㎡	72078元/㎡	1048万元
朝阳公园 前排观湖景 南向看园区 南北通透 采光好	219.91㎡	107317元/㎡	2360万元
北京22号线地铁 600米 买一层带一层 精装现房配套齐全	45㎡	5334元/㎡	24万元
六道口  大学内   一层      净高3米	80.16㎡	113523元/㎡	910万元
万柳双明卫三居室 碧水云天 前后不临街一层南向院	162.7㎡	153658元/㎡	2500万元
电梯 独立入户，带花厅，四叶草户型，全智能装修	127.46㎡	50918元/㎡	649万元
丽泽景园南北通透3居  商品房不临街！双地铁！2梯4户。	124.37㎡	64325元/㎡	800万元
交易有保单 必看好房 店长力荐 南庭新苑南区	49.54㎡	31894元/㎡	158万元
北重西厂 低楼层 南北通透两居室  全明格局	64.16㎡	36628元/㎡	235万元
万科优选 房山东方 地铁首站万科金域缇香南向两居	84.68㎡	34247元/㎡	290万元
新上 定福庄 金星小区 南北通透 两居 满五年 税费低	58.26㎡	32613元/㎡	190万元
必卖好房！地铁6号线1号线传媒北门 金星小区 南北两居 急售	57.91㎡	34882元/㎡	202万元
永兴小区21户型3居室2卫视野好	133.14㎡	34551元/㎡	460万元
润杰经典 两室两厅一卫 满五	87.67㎡	27262元/㎡	239万元
家住32楼什么体验，公园大道200平大三居，国外置业急售	200㎡	92500元/㎡	1850万元
必看好房！百十来万 让您在北京繁华地段拥有一套温馨的家！	79㎡	17469元/㎡	138万元
建新北区，满五 ，朝南两居，中楼层，可组合 ，可谈	52.44㎡	42907元/㎡	225万元
朝南大一居 户型方正 全凸朝南 采光无遮挡 新怡新世界	88.6㎡	126186元/㎡	1118万元
广渠门！幸福家园！次顶层！户型方正！有钥匙！崇文门近双井东单	127.01㎡	125187元/㎡	1590万元
久润花园东区 满五 精装好房 医疗配套成熟 南北通透 双卫	84.97㎡	17183元/㎡	146万元
中间楼层 商品住宅 小三居 商业配套齐全 精装可拎包入住	72.51㎡	17929元/㎡	130万元
房山窦店 沁园春景 2室2厅南北通透客厅落地阳台	89.35㎡	11528元/㎡	103万元
中海墅 新上精装联排别墅 急售 地上三层地下二层 看房有钥匙	285.13㎡	80665元/㎡	2300万元
新兴小区（西区） 正南正北 南北通透 采光充足 集中供暖	56.7㎡	19577元/㎡	111万元
瀛海  德茂小区  2室  1厅 地铁德茂站	63.96㎡	34241元/㎡	219万元
合景香悦四季 诚售可谈 随时看 楼层好 满五  	115.38㎡	32068元/㎡	370万元
北京怡园 两室两厅一卫 满五	71.32㎡	41784元/㎡	298万元
恒云力荐好房 有电梯 南北通透 珠光逸景	79.15㎡	35376元/㎡	280万元
万科物业租售 西山庭院低总价三居室 有钥匙随时看房	132.38㎡	87627元/㎡	1160万元
中信锦园 南北通透 户型方正 2居室 不临街 高层园区中间	95㎡	198948元/㎡	1890万元
北京城建广悦居 1室1厅 普装	65.35㎡	28004元/㎡	183万元
亦庄第二生活区 融科精装两居室 眼镜户型 双卧朝南 阳光满屋	85.07㎡	31680元/㎡	269.5万元
